pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,1568,15,False,0.32134480195491094,1.4361506928776209,0.00575173103215089,0.005196771680167002,0.005196771680167002,0.953771733034212,272092,285280,75.28574999999904
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,1568,15,True,0.25538482199805523,0.8395350755213258,0.0025603632262780696,0.001796295003801974,0.001796295003801974,0.9542449523275378,272227,285280,100.51624999999831
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,3200,5,False,0.3561457244526131,1.6542727253228446,0.007664214803765238,0.007102074408282937,0.007094726167819115,0.9540591699383062,272174,285280,72.9170830000001
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,3200,5,True,0.23800820883391544,0.5844464558177397,0.0017553716944478108,0.0009254260815917329,0.0009254260815917329,0.9545253785754346,272307,285280,94.6607919999991
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,3200,10,False,0.36110466188316226,1.6875250962678694,0.007872510897289827,0.00732121461596701,0.00732121461596701,0.9537507010656198,272086,285280,70.85299999999961
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,3200,10,True,0.23982805855207606,0.6164770204191564,0.001828851789557183,0.0010172529030267863,0.0010172529030267863,0.9545078519349411,272302,285280,89.69300000000402
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,3200,15,False,0.3524898219646744,1.637723547001402,0.007391600286980997,0.006847072241947055,0.006847072241947055,0.9527306505888952,271795,285280,83.02524999999861
random-dot-640x480-d64-s0,opencv-sgbm,64,7,392,3200,15,True,0.24150952486875393,0.6503294161666802,0.0018986969870580113,0.0010797232382883082,0.0010797232382883082,0.954472798653954,272292,285280,98.29483300000419
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,800,5,False,0.2806546432698315,1.1296491664348816,0.00444994818805165,0.003255701151621604,0.0032116058764303404,0.9539329781267527,272138,285280,74.65445900000134
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,800,5,True,0.257289297662406,0.8900930934193266,0.003469198005211147,0.002069023810311309,0.0020249238356687947,0.95383132361189,272109,285280,112.78308300000361
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,800,10,False,0.2841443341161558,1.1616255487444478,0.004634359679233218,0.003436261935038111,0.0033848098846739044,0.9537927650028043,272098,285280,90.48762500000151
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,800,10,True,0.25816925695124154,0.8994870995106511,0.0034879831812317835,0.0021207231776298623,0.0020729425861061392,0.9537191531127314,272077,285280,94.08966600000213
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,800,15,False,0.28629716924940646,1.1801987428920806,0.004738953165613361,0.0035404281601905873,0.0034999871324002487,0.9534527481772294,272001,285280,64.06633299999953
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,800,15,True,0.2598102972869395,0.9207019080328223,0.0035335559118118576,0.0021804356458943095,0.002143666073450898,0.9533230510375771,271964,285280,95.41170800000032
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,1568,5,False,0.3015482739290482,1.3010388841632925,0.005565678682164847,0.004364373778489662,0.004320289194868554,0.9541643297812675,272204,285280,74.74362500000353
random-dot-640x480-d64-s0,opencv-sgbm,64,9,200,1568,5,True,0.2528324791917583,0.8393458947136002,0.003251046947322019,0.0018294026890015428,0.0017889941958709867,0.9542204150308469,272220,285280,105.43833300000216
